MOF_name,thermal_decomposition_temp_C,solvent_removal_stability,dataset
qmof-ce154fe,349.7,0.94,QMOF reference
qmof-3d31da5,291.7,0.55,QMOF reference
qmof-559f6f4,557.0,0.01,QMOF reference
qmof-d17983b,407.4,0.42,QMOF reference
qmof-12c7df0,254.4,0.87,QMOF reference
qmof-431f8cc,282.7,0.66,QMOF reference
qmof-698c70f,309.0,0.83,QMOF reference
qmof-14cbe50,324.2,0.84,QMOF reference
qmof-11ed3e0,164.1,0.52,QMOF reference
qmof-668c8ab,229.0,0.43,QMOF reference
qmof-2f238e2,376.1,0.53,QMOF reference
qmof-6f52c47,375.1,0.26,QMOF reference
qmof-e3c6537,314.9,0.18,QMOF reference
qmof-f3d0903,304.4,0.35,QMOF reference
qmof-7d62fb2,152.9,0.99,QMOF reference
qmof-bc64533,406.8,0.6,QMOF reference
qmof-3da8d8e,240.5,0.93,QMOF reference
qmof-5d155f8,346.7,0.54,QMOF reference
qmof-4a7bb80,288.7,0.85,QMOF reference
qmof-e9a4825,,FAILED,QMOF reference
qmof-ecef75e,306.2,0.31,QMOF reference
qmof-226eeb4,,FAILED,QMOF reference
qmof-9f99f89,384.9,0.2,QMOF reference
qmof-a7ffaa5,359.3,0.84,QMOF reference
qmof-50a4b12,319.1,0.93,QMOF reference
qmof-a4d0def,,FAILED,QMOF reference
qmof-5d743e9,234.1,0.7,QMOF reference
qmof-4bae7c0,289.5,0.89,QMOF reference
qmof-0f39fa4,450.5,0.8,QMOF reference
qmof-5deed79,402.9,0.64,QMOF reference
qmof-4d726d4,350.8,0.97,QMOF reference
qmof-04aceb4,318.8,0.88,QMOF reference
qmof-6f20050,250.7,0.8,QMOF reference
qmof-3219dbc,411.6,0.09,QMOF reference
qmof-fa9db14,,FAILED,QMOF reference
qmof-e095792,252.3,0.95,QMOF reference
qmof-ee4bd09,347.3,0.41,QMOF reference
qmof-6da396d,466.3,0.9,QMOF reference
qmof-f77c0e0,330.8,0.67,QMOF reference
qmof-47bbdd7,322.5,0.71,QMOF reference
qmof-3d585a2,177.0,0.98,QMOF reference
qmof-e607de3,281.5,0.56,QMOF reference
qmof-b1a8c0d,344.0,0.93,QMOF reference
qmof-c0844b9,284.4,0.14,QMOF reference
qmof-ea9f5eb,256.6,0.56,QMOF reference
qmof-a2a041a,252.9,0.69,QMOF reference
qmof-a6f3f87,527.5,0.02,QMOF reference
qmof-d856602,278.5,0.86,QMOF reference
qmof-4ae6ad4,321.2,0.38,QMOF reference
qmof-9132b62,378.8,0.78,QMOF reference
qmof-c16648b,336.4,0.57,QMOF reference
qmof-6865832,356.9,0.91,QMOF reference
qmof-c735ed2,389.1,0.87,QMOF reference
qmof-981d15e,305.8,0.44,QMOF reference
qmof-08ea2da,373.2,0.95,QMOF reference
qmof-8082407,,FAILED,QMOF reference
qmof-ed02e1b,318.7,0.95,QMOF reference
qmof-35465ea,328.9,0.51,QMOF reference
qmof-555b3a3,303.4,0.96,QMOF reference
qmof-6097b60,313.9,0.23,QMOF reference
qmof-7d9565e,329.0,0.18,QMOF reference
qmof-b56746c,387.6,0.37,QMOF reference
qmof-896109e,384.1,0.75,QMOF reference
qmof-fec0e15,337.4,0.88,QMOF reference
qmof-255cbe5,347.8,0.73,QMOF reference
qmof-be0b180,387.5,0.82,QMOF reference
qmof-5791351,369.3,0.52,QMOF reference
qmof-4b237d7,273.6,0.85,QMOF reference
qmof-01155fc,317.6,0.79,QMOF reference
qmof-348df13,293.2,0.65,QMOF reference
qmof-e577f8a,333.8,0.92,QMOF reference
qmof-d79a97c,320.5,0.81,QMOF reference
qmof-8376bca,349.2,0.52,QMOF reference
qmof-8b89165,283.1,0.92,QMOF reference
qmof-ee8825a,347.2,0.56,QMOF reference
qmof-09a1847,289.2,0.88,QMOF reference
qmof-bf0b336,,FAILED,QMOF reference
qmof-7b77cf8,,FAILED,QMOF reference
qmof-0fe92ef,,FAILED,QMOF reference
qmof-12edc8c,260.6,0.37,QMOF reference
qmof-796b6a2,359.7,0.85,QMOF reference
qmof-903705c,347.7,0.67,QMOF reference
qmof-3aeb382,359.1,0.55,QMOF reference
qmof-b825a82,354.6,0.93,QMOF reference
qmof-0660e3e,360.5,0.92,QMOF reference
qmof-f3a8143,361.2,0.51,QMOF reference
qmof-0134f52,271.9,0.71,QMOF reference
qmof-52169d5,338.2,0.26,QMOF reference
qmof-598b6ca,,FAILED,QMOF reference
qmof-8b93713,277.9,0.15,QMOF reference
qmof-9cf4f45,300.2,0.52,QMOF reference
qmof-25af73a,363.5,0.32,QMOF reference
qmof-3b51d4f,311.9,0.77,QMOF reference
qmof-c18cdd5,312.5,0.9,QMOF reference
qmof-115de59,382.0,0.8,QMOF reference
qmof-b0b9351,293.2,0.76,QMOF reference
qmof-e78085a,324.8,0.55,QMOF reference
qmof-7409358,378.4,0.69,QMOF reference
qmof-9e6bb9e,326.2,0.79,QMOF reference
qmof-b4beb57,327.9,0.33,QMOF reference
qmof-f3e9eb2,273.6,0.84,QMOF reference
qmof-0b7afa6,375.6,0.91,QMOF reference
qmof-6e77811,347.3,0.32,QMOF reference
qmof-957ace9,319.6,0.36,QMOF reference
qmof-6af7b79,325.1,0.89,QMOF reference
qmof-740e83b,290.9,0.93,QMOF reference
qmof-7a9db19,371.5,0.33,QMOF reference
qmof-26d80f2,449.5,0.86,QMOF reference
qmof-4cdc447,293.7,0.2,QMOF reference
qmof-44477e2,,FAILED,QMOF reference
qmof-965eff6,,FAILED,QMOF reference
qmof-9714d1f,372.2,0.93,QMOF reference
qmof-c8fe486,307.5,0.75,QMOF reference
qmof-a5d6bc4,210.3,0.77,QMOF reference
qmof-de1875e,287.2,0.87,QMOF reference
qmof-531a5b8,321.3,0.15,QMOF reference
qmof-a2e4f06,422.8,0.04,QMOF reference
qmof-bbdb65b,350.5,0.56,QMOF reference
