group,tsne_x,tsne_y
Experiments,56.6621,-30.5639
Experiments,39.2113,17.0222
Experiments,-41.6326,77.2071
Experiments,60.0328,-19.0603
Experiments,74.4335,21.884
Experiments,87.6565,-28.1483
Experiments,56.9717,1.2835
Experiments,28.7037,63.8195
Experiments,51.2595,29.4687
Experiments,78.3708,9.9952
Experiments,68.6472,21.1169
Experiments,57.6298,49.9182
Experiments,38.0794,-29.7577
Experiments,50.2641,78.2264
Experiments,27.6899,-30.5889
Experiments,22.0914,-70.0195
Experiments,15.3474,-24.1647
Experiments,35.554,-36.1042
Experiments,58.1165,21.2495
Experiments,60.1788,-19.6992
Experiments,35.5299,10.1518
Experiments,34.3433,64.4472
Experiments,35.0505,3.4445
Experiments,32.1115,-36.0526
Experiments,30.4295,40.8251
Experiments,90.2983,0.1408
Experiments,49.9377,34.4222
Experiments,-80.973,-26.1385
Experiments,44.9807,-73.1753
Experiments,35.1262,-52.9423
Experiments,20.7036,1.1122
Experiments,50.1777,-0.3281
Experiments,85.5461,-30.3317
Experiments,99.237,8.8174
Experiments,72.5042,-0.7387
Experiments,53.7843,-4.2045
Experiments,35.6061,17.2554
Experiments,75.4709,-71.0883
Experiments,78.6155,1.6902
Experiments,73.2988,-5.0297
Experiments,97.0093,-32.3369
Experiments,32.4647,56.0599
Experiments,49.635,-66.8765
Experiments,73.9846,-33.4627
Experiments,21.3069,-61.0863
Experiments,72.5044,-33.3738
Experiments,36.0901,-55.3672
Experiments,35.1276,-52.8884
Experiments,62.7156,65.8514
Experiments,83.1501,-34.2555
Experiments,23.999,-16.9413
Experiments,102.0804,23.4948
Experiments,44.6198,39.0944
Experiments,33.3293,-20.194
Experiments,39.9568,-23.2861
Experiments,16.5937,-48.7667
Experiments,39.327,44.8528
Experiments,-14.5881,-37.9747
Experiments,97.5789,-29.9397
Experiments,60.0691,0.4384
Experiments,30.9713,17.8047
Experiments,47.0265,55.3644
Experiments,57.5316,-58.4012
Experiments,59.58,-42.0466
Experiments,72.3854,-2.6246
Experiments,51.0898,-76.9659
Experiments,34.0357,64.4919
Experiments,92.0852,17.6537
Experiments,17.5412,-96.315
Experiments,78.7671,24.7213
Experiments,35.0363,-62.723
Experiments,62.3574,60.298
Experiments,63.4139,10.4613
Experiments,-43.9293,-22.5766
Experiments,35.4258,2.2187
Experiments,29.0786,-31.3628
Experiments,76.252,-11.5378
Experiments,78.6234,-25.2031
Experiments,37.5269,15.5272
Experiments,40.2405,59.7235
Experiments,37.959,-30.1104
Experiments,107.8117,-1.295
Experiments,44.4028,29.2693
Experiments,-19.309,-73.8074
Experiments,36.0587,60.0434
Experiments,48.4828,24.5321
Experiments,96.48,-26.9377
Experiments,41.7611,-7.3037
Experiments,42.5471,65.6721
Experiments,39.2955,-21.7044
Experiments,58.405,48.7665
Experiments,96.5482,-27.1061
Experiments,70.0668,-30.1638
Experiments,56.9547,-8.2611
Experiments,76.6798,-15.979
Experiments,77.8567,-23.7659
Experiments,99.8844,14.6059
Experiments,51.772,1.9267
Experiments,59.224,-42.2875
Experiments,79.2771,-38.0462
Experiments,70.2933,-38.4736
Experiments,28.6445,63.865
Experiments,15.597,-21.761
Experiments,65.6223,65.1816
Experiments,25.4821,-43.12
Experiments,92.8739,40.2673
Experiments,55.3908,67.3018
Experiments,55.2036,19.9884
Experiments,32.812,63.0115
Experiments,70.4868,-35.1968
Experiments,67.7045,-71.0762
Experiments,59.4616,-41.5698
Experiments,84.7329,-32.881
Experiments,19.1409,-46.7009
Experiments,59.0838,58.7303
Experiments,65.7192,-68.887
Experiments,43.1862,59.5608
Experiments,80.0953,-22.9121
Experiments,93.1415,42.2289
Experiments,41.5238,16.4063
Experiments,31.3146,-38.5424
Experiments,38.1146,13.1173
Experiments,77.2923,-62.6989
Experiments,60.4863,-21.7345
Experiments,53.8902,-81.0842
Experiments,50.9556,7.0909
Experiments,41.4659,16.1384
Experiments,64.576,7.9885
Experiments,85.0553,-28.1342
Experiments,-19.1785,-40.4129
Experiments,29.0964,-47.1219
Experiments,23.7627,-42.4586
Experiments,73.4759,46.4473
Experiments,62.4896,-79.1153
Experiments,98.7218,41.3882
Experiments,86.2487,-32.3901
Experiments,102.1277,-26.6081
Experiments,33.6905,16.6303
Experiments,62.0475,76.072
Experiments,10.4968,20.8038
Experiments,57.0818,53.5125
Experiments,-58.5298,-28.9576
Experiments,92.7255,17.9313
Experiments,80.3785,-0.2996
Experiments,42.0439,35.2897
Experiments,66.4527,68.9474
Experiments,-59.3414,27.8305
Experiments,61.2718,77.37
Experiments,107.9722,-10.3385
Experiments,49.9317,-21.8566
Experiments,41.2391,-59.2588
Experiments,20.1649,-19.4739
Experiments,62.8343,49.6382
Experiments,86.9672,35.9878
Experiments,80.1341,29.0363
Experiments,95.3699,32.3629
Experiments,48.5766,6.3115
Experiments,68.7654,21.2517
Experiments,52.2302,-3.0957
Experiments,66.7926,60.6976
Experiments,90.1562,27.8841
Experiments,64.7764,38.4121
Experiments,27.2337,-44.2202
Experiments,34.7829,53.7976
Experiments,29.8241,-51.478
Experiments,48.4469,22.891
Experiments,55.5988,67.5321
Experiments,31.1488,-55.7079
Experiments,28.0931,2.3546
Experiments,35.2803,50.166
Experiments,47.9109,-70.6873
Experiments,79.4255,26.2419
Experiments,99.5314,-14.5623
Experiments,40.4621,-38.9257
Experiments,19.6452,-46.4622
Experiments,63.0417,45.8166
Experiments,59.3393,-45.0837
Experiments,87.3942,-28.1648
Experiments,35.7413,-39.2823
Experiments,62.6748,-79.6154
Experiments,57.9234,-22.8577
Experiments,53.8953,21.5496
Experiments,38.4193,71.785
Experiments,22.8707,-51.2482
Experiments,68.0299,49.1168
Experiments,24.8107,65.7054
Experiments,26.0562,-45.0484
Experiments,56.852,-75.5823
Experiments,44.3802,44.9355
Experiments,67.5062,31.7031
Experiments,101.9951,23.7476
Experiments,72.7908,-39.3286
Experiments,61.0367,-20.6193
Experiments,29.8226,54.2941
Experiments,70.587,38.3117
Experiments,96.1007,-26.0896
Experiments,52.4842,-44.9917
Experiments,73.2718,-62.5521
Experiments,64.2899,7.4732
Experiments,32.8856,-62.5879
Experiments,56.299,-30.4431
Experiments,47.5917,1.4548
Experiments,50.3696,-3.4396
Experiments,50.6231,33.9726
Experiments,27.0322,-48.9168
Experiments,73.6139,-60.5394
Experiments,87.6047,-25.8277
Experiments,33.8166,38.7003
Experiments,107.8765,-11.2241
Experiments,51.6791,59.5971
Experiments,81.2924,20.1263
Experiments,103.3788,16.1038
Experiments,70.684,68.4287
Experiments,30.0911,22.4251
Experiments,91.991,15.2234
Experiments,107.378,37.0631
Experiments,42.3565,16.0687
Experiments,71.6281,-35.3047
Experiments,61.425,-21.2906
Experiments,25.8161,-28.8237
Experiments,38.7102,6.8641
Experiments,28.8631,-69.7867
Experiments,81.5576,38.6946
Experiments,27.883,12.9468
Experiments,95.7028,-31.9885
Experiments,78.983,-17.0935
Experiments,75.9384,-38.4999
Experiments,43.7923,59.1075
Experiments,47.8821,-31.5537
Experiments,43.0337,-4.2182
Experiments,25.6979,5.3414
Experiments,69.5737,-61.0859
Experiments,32.4831,-64.4034
Experiments,43.9247,-16.1232
Experiments,55.7453,66.6227
Experiments,43.7329,36.4297
Experiments,34.2335,0.4161
Experiments,66.3395,-73.1315
Experiments,89.9761,31.3279
Experiments,106.1308,-1.409
Experiments,33.6416,55.3105
Experiments,31.7938,19.2589
Experiments,102.535,-7.0089
Experiments,35.6331,35.4466
Experiments,72.0272,-5.6973
Experiments,79.2426,-6.0403
Experiments,56.8828,-29.9039
Experiments,108.062,-10.8173
Experiments,-42.9132,77.9902
Experiments,70.1178,11.8001
Experiments,0.9598,-41.803
Experiments,58.0098,-22.8336
Experiments,38.1001,-38.36
Experiments,26.0454,12.7046
Experiments,72.609,59.3806
Experiments,89.76,-35.7189
Experiments,88.1695,42.8563
Experiments,34.1255,-14.8977
Experiments,68.6257,21.0883
Experiments,27.8602,-42.3315
Experiments,88.2752,-28.0566
Experiments,94.6632,14.4748
Experiments,58.8585,-45.2341
Experiments,64.0219,25.2798
Experiments,49.9296,34.9925
Experiments,104.519,17.1273
Experiments,50.7148,51.5216
Experiments,75.6255,-34.9785
Experiments,34.6095,-55.1073
Experiments,33.478,-57.1521
Experiments,76.0589,-11.7483
Experiments,35.9712,-31.315
Experiments,62.6832,-74.6454
Experiments,76.3551,26.7734
Experiments,20.4664,-9.6678
Experiments,27.7976,-29.5887
Experiments,35.6394,71.1008
Experiments,62.8838,19.1567
Experiments,57.3182,36.2876
Experiments,89.6815,40.1037
Experiments,34.9583,64.5948
Experiments,42.7934,-43.6059
Experiments,38.223,-57.782
Experiments,57.8774,58.9165
Experiments,58.1771,-2.4238
Experiments,34.5988,45.4728
Experiments,74.8355,-3.2942
Experiments,33.2827,-2.9381
Experiments,92.2511,-9.8615
