mof_id,formula,formation_energy_eV_per_atom,energy_eV,method,space_group
C60H28N16O5Zn4-3_1-r2SCAN-D4,Zn4H28C60N16O5,0.267994,-879.119,r2SCAN-D4,P1
C54H24N12O19Zn4-1_10-r2SCAN-D4,Zn4H24C54N12O19,-0.130638,-895.124,r2SCAN-D4,P1
C48H30N12O13Zn4-0_11-r2SCAN-D4,Zn4H30C48N12O13,-0.188028,-826.194,r2SCAN-D4,P1
C48H28N12O17Zn4-2_10-r2SCAN-D4,Zn4H28C48N12O17,-0.209366,-845.266,r2SCAN-D4,P1
C48H24N12O21Zn4-0_4-r2SCAN-D4,Zn4H24C48(N4O7)3,-0.217545,-855.614,r2SCAN-D4,P1
C46H30N8O15Zn4-3-r2SCAN-D4,Zn4H30C46N8O15,-0.252256,-787.061,r2SCAN-D4,P1
C46H30N8O15Zn4-1_11-r2SCAN-D4,Zn4H30C46N8O15,-0.1345,-774.932,r2SCAN-D4,P1
C52H20N12O13Zn4-2_2-r2SCAN-D4,Zn4H20C52N12O13,0.0205282,-809.5,r2SCAN-D4,P1
C64H24N16O13Zn4-0_10-MACE-OMat-D3,C64H24N16O13Zn4-0_10-MACE-OMat-D3,-0.0564358,-875.337,MACE-OMat-D3,P1
C60H24N8O17Zn4-1_2-MACE-OMat-D3,C60H24N8O17Zn4-1_2-MACE-OMat-D3,-0.144268,-801.068,MACE-OMat-D3,P1
C60H16N16O13Zn4-2_8-MACE-OMat-D3,C60H16N16O13Zn4-2_8-MACE-OMat-D3,-0.094696,-816.102,MACE-OMat-D3,P1
C60H16N16O13Zn4-1_10-MACE-OMat-D3,C60H16N16O13Zn4-1_10-MACE-OMat-D3,-0.058498,-812.156,MACE-OMat-D3,P1
C56H8N40O13Zn4-0-MACE-OMat-D3,C56H8N40O13Zn4-0-MACE-OMat-D3,0.111949,-929.776,MACE-OMat-D3,P1
C56H36N12O13Zn4-0_13-MACE-OMat-D3,C56H36N12O13Zn4-0_13-MACE-OMat-D3,-0.181432,-822.451,MACE-OMat-D3,P1
C56H32N8O21Zn4-1_1-MACE-OMat-D3,C56H32N8O21Zn4-1_1-MACE-OMat-D3,-0.319577,-832.398,MACE-OMat-D3,P1
C56H32N4O17Zn4-1_10-MACE-OMat-D3,C56H32N4O17Zn4-1_10-MACE-OMat-D3,-0.282452,-772.476,MACE-OMat-D3,P1
C56H32N4O17Zn4-0_5-MACE-OMat-D3,C56H32N4O17Zn4-0_5-MACE-OMat-D3,-0.256695,-769.565,MACE-OMat-D3,P1
C56H24N8O13S8Zn4-3_11-MACE-OMat-D3,C56H24N8O13S8Zn4-3_11-MACE-OMat-D3,-0.133788,-776.343,MACE-OMat-D3,P1
C56H16N12O13Zn4-0_5-MACE-OMat-D3,C56H16N12O13Zn4-0_5-MACE-OMat-D3,-0.0997624,-745.699,MACE-OMat-D3,P1
C54H36N6O13S6Zn4-0_1-MACE-OMat-D3,C54H36N6O13S6Zn4-0_1-MACE-OMat-D3,-0.186323,-778.986,MACE-OMat-D3,P1
C52H32N12O17Zn4-1_2-MACE-OMat-D3,C52H32N12O17Zn4-1_2-MACE-OMat-D3,-0.250883,-799.89,MACE-OMat-D3,P1
C52H28N8O13Zn4-3-MACE-OMat-D3,C52H28N8O13Zn4-3-MACE-OMat-D3,-0.21077,-726.522,MACE-OMat-D3,P1
C52H24N8O17Zn4-0_13-MACE-OMat-D3,C52H24N8O17Zn4-0_13-MACE-OMat-D3,-0.182317,-730.352,MACE-OMat-D3,P1
C48H40N8O17Zn4-2_14-MACE-OMat-D3,C48H40N8O17Zn4-2_14-MACE-OMat-D3,-0.309205,-762.507,MACE-OMat-D3,P1
C48H36N8O13Zn4-3_5-MACE-OMat-D3,C48H36N8O13Zn4-3_5-MACE-OMat-D3,-0.25388,-721.235,MACE-OMat-D3,P1
C48H30N12O13Zn4-3_9-MACE-OMat-D3,C48H30N12O13Zn4-3_9-MACE-OMat-D3,-0.232638,-732.371,MACE-OMat-D3,P1
C48H28N4O13Zn4-1_14-MACE-OMat-D3,C48H28N4O13Zn4-1_14-MACE-OMat-D3,-0.246953,-658.188,MACE-OMat-D3,P1
C48H24N8O33Zn4-0_7-MACE-OMat-D3,C48H24N8O33Zn4-0_7-MACE-OMat-D3,-0.467842,-808.337,MACE-OMat-D3,P1
C48H24N8O17Zn4-0_9-MACE-OMat-D3,C48H24N8O17Zn4-0_9-MACE-OMat-D3,-0.26451,-701.145,MACE-OMat-D3,P1
C48H24N6O19S6Zn4-0_9-MACE-OMat-D3,C48H24N6O19S6Zn4-0_9-MACE-OMat-D3,-0.233219,-717.364,MACE-OMat-D3,P1
C48H24N12O19Zn4-1_12-MACE-OMat-D3,C48H24N12O19Zn4-1_12-MACE-OMat-D3,-0.301793,-749.997,MACE-OMat-D3,P1
C48H24N12O19Zn4-0_12-MACE-OMat-D3,C48H24N12O19Zn4-0_12-MACE-OMat-D3,-0.28358,-748.048,MACE-OMat-D3,P1
C48H24N12O13Zn4-1_5-MACE-OMat-D3,C48H24N12O13Zn4-1_5-MACE-OMat-D3,-0.195663,-707.778,MACE-OMat-D3,P1
C48H18N12O19Zn4-0_18-MACE-OMat-D3,C48H18N12O19Zn4-0_18-MACE-OMat-D3,-0.2055,-718.998,MACE-OMat-D3,P1
C44H40N20O17Zn4-2_12-MACE-OMat-D3,C44H40N20O17Zn4-2_12-MACE-OMat-D3,-0.319945,-829.68,MACE-OMat-D3,P1
C44H40N20O17Zn4-1_4-MACE-OMat-D3,C44H40N20O17Zn4-1_4-MACE-OMat-D3,-0.323622,-830.139,MACE-OMat-D3,P1
C44H36N8O21Zn4-2_1-MACE-OMat-D3,C44H36N8O21Zn4-2_1-MACE-OMat-D3,-0.453611,-747.627,MACE-OMat-D3,P1
C44H36N16O13Zn4-1_1-MACE-OMat-D3,C44H36N16O13Zn4-1_1-MACE-OMat-D3,-0.287392,-756.016,MACE-OMat-D3,P1
C44H32N32O13Zn4-0_12-MACE-OMat-D3,C44H32N32O13Zn4-0_12-MACE-OMat-D3,-0.198093,-868.841,MACE-OMat-D3,P1
C42H30N12O16Zn4-2_1-MACE-OMat-D3,C42H30N12O16Zn4-2_1-MACE-OMat-D3,-0.305974,-698.976,MACE-OMat-D3,P1
C42H24N6O13Zn4-1_4-MACE-OMat-D3,C42H24N6O13Zn4-1_4-MACE-OMat-D3,-0.257519,-605.7,MACE-OMat-D3,P1
C40H44N20O13Zn4-3_11-MACE-OMat-D3,C40H44N20O13Zn4-3_11-MACE-OMat-D3,-0.303914,-782.864,MACE-OMat-D3,P1
C40H38N10O5Zn4-0-MACE-OMat-D3,C40H38N10O5Zn4-0-MACE-OMat-D3,-0.0381887,-607.301,MACE-OMat-D3,P1
C40H36N8O15Zn4-2_13-MACE-OMat-D3,C40H36N8O15Zn4-2_13-MACE-OMat-D3,-0.280866,-658.831,MACE-OMat-D3,P1
C40H36N8O15Zn4-0_6-MACE-OMat-D3,C40H36N8O15Zn4-0_6-MACE-OMat-D3,-0.298358,-660.632,MACE-OMat-D3,P1
C40H24N8O13Zn4-1_6-MACE-OMat-D3,C40H24N8O13Zn4-1_6-MACE-OMat-D3,-0.257361,-603.985,MACE-OMat-D3,P1
C40H24N8O13Zn4-2_5-MACE-OMat-D3,C40H24N8O13Zn4-2_5-MACE-OMat-D3,-0.242848,-602.694,MACE-OMat-D3,P1
C40H24N16O13Zn4-1_3-MACE-OMat-D3,C40H24N16O13Zn4-1_3-MACE-OMat-D3,-0.22052,-669.228,MACE-OMat-D3,P1
C33H30N15O13Zn4-3-MACE-OMat-D3,C33H30N15O13Zn4-3-MACE-OMat-D3,-0.355488,-628.364,MACE-OMat-D3,P1
C30H18O19Zn4-2_1-MACE-OMat-D3,C30H18O19Zn4-2_1-MACE-OMat-D3,-0.543439,-471.187,MACE-OMat-D3,P1
C24H20N12O13Zn4-2_15-MACE-OMat-D3,C24H20N12O13Zn4-2_15-MACE-OMat-D3,-0.407306,-484.103,MACE-OMat-D3,P1
C24H16N2O11Zn4-2_5-MACE-OMat-D3,C24H16N2O11Zn4-2_5-MACE-OMat-D3,-0.384295,-369.957,MACE-OMat-D3,P1
C24H15O13Zn4-0_11-MACE-OMat-D3,C24H15O13Zn4-0_11-MACE-OMat-D3,-0.485892,-365.225,MACE-OMat-D3,P1
C21H18O13Zn4-1_8-MACE-OMat-D3,C21H18O13Zn4-1_8-MACE-OMat-D3,-0.538501,-350.319,MACE-OMat-D3,P1
C21H18O13Zn4-0_17-MACE-OMat-D3,C21H18O13Zn4-0_17-MACE-OMat-D3,-0.527808,-349.72,MACE-OMat-D3,P1
C18H15N3O13Zn4-0_15-MACE-OMat-D3,C18H15N3O13Zn4-0_15-MACE-OMat-D3,-0.577772,-338.503,MACE-OMat-D3,P1
C24H15O13Zn4-0_13-r2SCAN-D4,C24H15O13Zn4-0_13-r2SCAN-D4,-0.463505,-429.955,r2SCAN-D4,P1
C21H18O13Zn4-1.0-r2SCAN-D4,C21H18O13Zn4-1.0-r2SCAN-D4,-0.542427,-414.694,r2SCAN-D4,P1
C18H12O19Zn4-0_29-r2SCAN-D4,C18H12O19Zn4-0_29-r2SCAN-D4,-0.76789,-409.15,r2SCAN-D4,P1
