Angle,AA_3-12-2_Zn-DMF
17.8846700,.0022852
17.9050800,.0020696
17.9255000,.0013689
17.9459200,.0017677
17.9663400,.0015522
17.9867500,.0017246
18.0071700,.0019941
18.0275900,.0021665
18.0480100,.0021773
18.0684200,.0023498
18.0888400,.0026193
18.1092600,.0025654
18.1296700,.0025761
18.1500900,.0022636
18.1705100,.0023390
18.1909300,.0018647
18.2113400,.0018755
18.2317600,.0018863
18.2521800,.0017677
18.2725900,.0018755
18.2930100,.0016599
18.3134300,.0015084
18.3338500,.0011298
18.3542600,.0011386
18.3746800,.0009203
18.3951000,.0013482
18.4155100,.0009029
18.4359300,.0013954
18.4563500,.0014029
18.4767700,.0016043
18.4971800,.0013854
18.5176000,.0016193
18.5380200,.0009800
18.5584400,.0008258
18.5788500,.0004776
18.5992700,.0008408
18.6196900,.0008160
18.6401000,.0010175
18.6605200,.0009927
18.6809400,.0010002
18.7013500,.0007490
18.7217700,.0006918
18.7421900,.0009257
18.7626100,.0010303
18.7830200,.0012642
18.8034400,.0013041
18.8238600,.0012470
18.8442800,.0010606
18.8646900,.0011651
18.8851100,.0015607
18.9055300,.0014066
18.9259500,.0017053
18.9463600,.0019392
18.9667800,.0020762
18.9872000,.0020192
19.0076100,.0022208
19.0280300,.0020021
19.0484500,.0022038
19.0688600,.0023731
19.0892800,.0018634
19.1097000,.0018064
19.1301200,.0020404
19.1505300,.0016278
19.1709500,.0014091
19.1913700,.0017079
19.2117800,.0016833
19.2322000,.0017557
19.2526200,.0022162
