0214_Al_Me_s    2theta
BANK 1 5000 5000    CONST 2.0001    0.011229 0 0 FXYE
7.423925    5806.000    0
7.435154    6624.000    0
7.446383    7831.000    0
7.457613    9114.000    0
7.468842    10716.000    0
7.480072    12879.000    0
7.491301    15702.000    0
7.502531    19206.000    0
7.51376    23464.000    0
7.52499    28519.000    0
7.536219    34446.000    0
7.547449    41183.000    0
7.558678    47666.000    0
7.569907    52668.000    0
7.581137    55677.000    0
7.592366    54550.000    0
7.603596    51109.000    0
7.614825    45539.000    0
7.626055    38019.000    0
7.637284    29965.000    0
7.648514    22602.000    0
7.659743    16669.000    0
7.670972    11367.000    0
7.682202    8329.000    0
7.693431    5905.000    0
7.704661    4559.000    0
7.71589    3794.000    0
7.72712    3188.000    0
7.738349    2656.000    0
7.749579    2484.000    0
7.760808    2121.000    0
7.772038    1969.000    0
7.783267    1718.000    0
7.794496    1639.000    0
7.805726    1557.000    0
7.816955    1400.000    0
7.828185    1279.000    0
7.839414    1327.000    0
7.850644    1205.000    0
7.861873    1164.000    0
7.873103    1133.000    0
7.884332    1079.000    0
7.895561    1088.000    0
7.906791    1045.000    0
7.91802    1025.000    0
7.92925    1002.000    0
7.940479    934.000    0
7.951709    952.000    0
7.962938    910.000    0
7.974168    905.000    0
7.985397    918.000    0
7.996627    866.000    0
8.007856    916.000    0
8.019085    932.000    0
8.030315    846.000    0
8.041544    804.000    0
8.052774    884.000    0
8.064003    798.000    0
8.075233    808.000    0
8.086462    809.000    0
8.097692    777.000    0
8.108921    765.000    0
8.12015    767.000    0
8.13138    776.000    0
8.142609    767.000    0
8.153839    727.000    0
8.165068    726.000    0
8.176298    724.000    0
8.187527    770.000    0
8.198757    691.000    0
8.209986    738.000    0
8.221216    695.000    0
8.232445    707.000    0
8.243674    746.000    0
8.254904    725.000    0
8.266133    711.000    0
8.277363    716.000    0
8.288592    698.000    0
8.299822    668.000    0
8.311051    716.000    0
8.322281    660.000    0
8.33351    667.000    0
8.344739    681.000    0
8.355969    664.000    0
8.367198    650.000    0
8.378428    681.000    0
8.389657    724.000    0
8.400887    684.000    0
8.412116    660.000    0
8.423346    624.000    0
8.434575    661.000    0
8.445805    665.000    0
8.457034    668.000    0
8.468263    652.000    0
8.479493    673.000    0
8.490722    660.000    0
8.501952    631.000    0
8.513181    630.000    0
8.524411    651.000    0
8.53564    611.000    0
8.54687    624.000    0
8.558099    564.000    0
8.569328    603.000    0
8.580558    617.000    0
8.591787    602.000    0
8.603017    612.000    0
8.614246    580.000    0
8.625476    576.000    0
8.636705    571.000    0
8.647935    579.000    0
8.659164    569.000    0
8.670394    558.000    0
8.681623    566.000    0
8.692852    542.000    0
8.704082    544.000    0
8.715311    544.000    0
8.726541    558.000    0
8.73777    583.000    0
8.749    533.000    0
8.760229    529.000    0
8.771459    542.000    0
8.782688    548.000    0
8.793917    545.000    0
8.805147    542.000    0
8.816376    571.000    0
8.827606    532.000    0
8.838835    546.000    0
8.850065    502.000    0
8.861294    533.000    0
8.872524    499.000    0
8.883753    494.000    0
8.894983    481.000    0
8.906212    481.000    0
8.917441    507.000    0
8.928671    503.000    0
8.9399    494.000    0
8.95113    470.000    0
8.962359    441.000    0
8.973589    475.000    0
8.984818    497.000    0
8.996048    453.000    0
9.007277    420.000    0
9.018507    457.000    0
9.029736    437.000    0
9.040965    462.000    0
9.052195    457.000    0
9.063424    442.000    0
9.074654    454.000    0
9.085883    453.000    0
9.097113    434.000    0
9.108342    459.000    0
9.119572    443.000    0
9.130801    413.000    0
9.14203    426.000    0
9.15326    402.000    0
9.164489    437.000    0
9.175719    423.000    0
9.186948    413.000    0
9.198178    402.000    0
9.209407    407.000    0
9.220637    416.000    0
9.231866    432.000    0
9.243096    391.000    0
9.254325    423.000    0
9.265554    444.000    0
9.276784    422.000    0
9.288013    390.000    0
9.299243    364.000    0
9.310472    397.000    0
9.321702    397.000    0
9.332931    398.000    0
9.344161    391.000    0
9.35539    379.000    0
9.366619    397.000    0
9.377849    383.000    0
9.389078    399.000    0
9.400308    402.000    0
9.411537    415.000    0
9.422767    402.000    0
9.433996    359.000    0
9.445226    384.000    0
9.456455    418.000    0
9.467685    377.000    0
9.478914    374.000    0
9.490143    346.000    0
9.501373    359.000    0
9.512602    365.000    0
9.523832    357.000    0
9.535061    369.000    0
9.546291    352.000    0
9.55752    377.000    0
9.56875    362.000    0
9.579979    346.000    0
9.591208    380.000    0
9.602438    365.000    0
9.613667    377.000    0
9.624897    354.000    0
9.636126    352.000    0
9.647356    376.000    0
9.658585    370.000    0
9.669815    355.000    0
9.681044    357.000    0
9.692274    364.000    0
9.703503    343.000    0
9.714732    350.000    0
9.725962    329.000    0
9.737191    344.000    0
9.748421    340.000    0
9.75965    382.000    0
9.77088    357.000    0
9.782109    305.000    0
9.793339    376.000    0
9.804568    377.000    0
9.815797    365.000    0
9.827027    362.000    0
9.838256    356.000    0
9.849486    335.000    0
9.860715    328.000    0
9.871945    337.000    0
9.883174    352.000    0
9.894404    362.000    0
9.905633    345.000    0
9.916863    312.000    0
9.928092    342.000    0
9.939321    323.000    0
9.950551    359.000    0
9.96178    291.000    0
9.97301    336.000    0
9.984239    364.000    0
9.995469    303.000    0
10.006698    325.000    0
10.017928    339.000    0
10.029157    294.000    0
10.040386    349.000    0
10.051616    333.000    0
10.062845    370.000    0
10.074075    310.000    0
10.085304    331.000    0
10.096534    336.000    0
10.107763    306.000    0
10.118993    369.000    0
10.130222    328.000    0
10.141452    338.000    0
10.152681    325.000    0
10.16391    305.000    0
10.17514    343.000    0
10.186369    301.000    0
10.197599    339.000    0
10.208828    317.000    0
10.220058    306.000    0
10.231287    333.000    0
10.242517    312.000    0
10.253746    329.000    0
10.264976    315.000    0
10.276205    355.000    0
10.287434    313.000    0
10.298664    320.000    0
10.309893    317.000    0
10.321123    304.000    0
10.332352    307.000    0
10.343582    326.000    0
10.354811    320.000    0
10.366041    331.000    0
10.37727    286.000    0
10.388499    328.000    0
10.399729    282.000    0
10.410958    312.000    0
10.422188    299.000    0
10.433417    297.000    0
10.444647    288.000    0
10.455876    283.000    0
10.467106    310.000    0
10.478335    308.000    0
10.489565    330.000    0
10.500794    302.000    0
10.512023    318.000    0
10.523253    287.000    0
10.534482    333.000    0
10.545712    313.000    0
10.556941    307.000    0
10.568171    313.000    0
10.5794    272.000    0
10.59063    314.000    0
10.601859    306.000    0
10.613088    344.000    0
10.624318    320.000    0
10.635547    299.000    0
10.646777    323.000    0
10.658006    283.000    0
10.669236    283.000    0
10.680465    289.000    0
10.691695    273.000    0
10.702924    292.000    0
10.714154    284.000    0
10.725383    315.000    0
10.736612    301.000    0
10.747842    349.000    0
10.759071    264.000    0
10.770301    297.000    0
10.78153    294.000    0
10.79276    291.000    0
10.803989    305.000    0
10.815219    297.000    0
10.826448    296.000    0
10.837677    281.000    0
10.848907    319.000    0
10.860136    294.000    0
10.871366    304.000    0
10.882595    313.000    0
10.893825    272.000    0
10.905054    308.000    0
10.916284    275.000    0
10.927513    297.000    0
10.938743    304.000    0
10.949972    296.000    0
10.961201    295.000    0
10.972431    328.000    0
10.98366    278.000    0
10.99489    280.000    0
11.006119    309.000    0
11.017349    319.000    0
11.028578    265.000    0
11.039808    306.000    0
11.051037    321.000    0
11.062266    312.000    0
11.073496    321.000    0
11.084725    284.000    0
11.095955    300.000    0
11.107184    283.000    0
11.118414    295.000    0
11.129643    283.000    0
11.140873    278.000    0
11.152102    306.000    0
11.163332    299.000    0
11.174561    281.000    0
11.18579    322.000    0
11.19702    302.000    0
11.208249    306.000    0
11.219479    296.000    0
11.230708    306.000    0
11.241938    292.000    0
11.253167    288.000    0
11.264397    298.000    0
11.275626    278.000    0
11.286855    271.000    0
11.298085    295.000    0
11.309314    314.000    0
11.320544    289.000    0
11.331773    263.000    0
11.343003    301.000    0
11.354232    268.000    0
11.365462    302.000    0
11.376691    292.000    0
11.387921    327.000    0
11.39915    282.000    0
11.410379    286.000    0
11.421609    309.000    0
11.432838    264.000    0
11.444068    272.000    0
11.455297    292.000    0
11.466527    290.000    0
11.477756    272.000    0
11.488986    280.000    0
11.500215    287.000    0
11.511444    299.000    0
11.522674    290.000    0
11.533903    307.000    0
11.545133    320.000    0
11.556362    266.000    0
11.567592    259.000    0
11.578821    260.000    0
11.590051    294.000    0
11.60128    268.000    0
11.61251    280.000    0
11.623739    300.000    0
11.634968    313.000    0
11.646198    299.000    0
11.657427    284.000    0
11.668657    254.000    0
11.679886    293.000    0
11.691116    295.000    0
11.702345    284.000    0
11.713575    297.000    0
11.724804    264.000    0
11.736034    294.000    0
11.747263    281.000    0
11.758492    300.000    0
11.769722    301.000    0
11.780951    259.000    0
11.792181    298.000    0
11.80341    270.000    0
11.81464    307.000    0
11.825869    267.000    0
11.837099    312.000    0
11.848328    290.000    0
11.859557    279.000    0
11.870787    270.000    0
11.882016    290.000    0
11.893246    278.000    0
11.904475    279.000    0
11.915705    306.000    0
11.926934    261.000    0
11.938164    291.000    0
11.949393    255.000    0
11.960623    263.000    0
11.971852    303.000    0
11.983081    256.000    0
11.994311    271.000    0
12.00554    306.000    0
12.01677    287.000    0
12.027999    277.000    0
12.039229    304.000    0
12.050458    273.000    0
12.061688    299.000    0
12.072917    274.000    0
12.084146    262.000    0
12.095376    297.000    0
12.106605    268.000    0
12.117835    314.000    0
12.129064    304.000    0
12.140294    283.000    0
12.151523    259.000    0
12.162753    280.000    0
12.173982    282.000    0
12.185212    277.000    0
12.196441    308.000    0
12.20767    251.000    0
12.2189    275.000    0
12.230129    290.000    0
12.241359    309.000    0
12.252588    259.000    0
12.263818    275.000    0
12.275047    299.000    0
12.286277    299.000    0
12.297506    267.000    0
12.308735    332.000    0
12.319965    292.000    0
12.331194    310.000    0
12.342424    300.000    0
12.353653    286.000    0
12.364883    311.000    0
12.376112    270.000    0
12.387342    275.000    0
12.398571    312.000    0
12.409801    297.000    0
12.42103    285.000    0
12.432259    288.000    0
12.443489    302.000    0
12.454718    311.000    0
12.465948    317.000    0
12.477177    272.000    0
12.488407    264.000    0
12.499636    337.000    0
12.510866    285.000    0
12.522095    332.000    0
12.533324    300.000    0
12.544554    325.000    0
12.555783    286.000    0
12.567013    306.000    0
12.578242    310.000    0
12.589472    297.000    0
12.600701    273.000    0
12.611931    318.000    0
12.62316    289.000    0
12.63439    286.000    0
12.645619    280.000    0
12.656848    284.000    0
12.668078    281.000    0
12.679307    278.000    0
12.690537    307.000    0
12.701766    310.000    0
12.712996    317.000    0
12.724225    328.000    0
12.735455    287.000    0
12.746684    277.000    0
12.757913    270.000    0
12.769143    310.000    0
12.780372    268.000    0
12.791602    300.000    0
12.802831    280.000    0
12.814061    295.000    0
12.82529    277.000    0
12.83652    311.000    0
12.847749    286.000    0
12.858979    258.000    0
12.870208    278.000    0
12.881437    326.000    0
12.892667    287.000    0
12.903896    321.000    0
12.915126    301.000    0
12.926355    311.000    0
12.937585    274.000    0
12.948814    269.000    0
12.960044    293.000    0
12.971273    301.000    0
12.982502    270.000    0
12.993732    307.000    0
13.004961    266.000    0
13.016191    306.000    0
13.02742    297.000    0
13.03865    241.000    0
13.049879    306.000    0
13.061109    291.000    0
13.072338    267.000    0
13.083568    277.000    0
13.094797    269.000    0
13.106026    319.000    0
13.117256    279.000    0
13.128485    283.000    0
13.139715    304.000    0
13.150944    308.000    0
13.162174    291.000    0
13.173403    283.000    0
13.184633    287.000    0
13.195862    291.000    0
13.207092    262.000    0
13.218321    308.000    0
13.22955    276.000    0
13.24078    305.000    0
13.252009    282.000    0
13.263239    269.000    0
13.274468    293.000    0
13.285698    265.000    0
13.296927    294.000    0
13.308157    274.000    0
13.319386    319.000    0
13.330615    304.000    0
13.341845    291.000    0
13.353074    281.000    0
13.364304    281.000    0
13.375533    283.000    0
13.386763    304.000    0
13.397992    266.000    0
13.409222    261.000    0
13.420451    277.000    0
13.431681    256.000    0
13.44291    298.000    0
13.454139    271.000    0
13.465369    280.000    0
13.476598    289.000    0
13.487828    307.000    0
13.499057    281.000    0
13.510287    283.000    0
13.521516    292.000    0
13.532746    258.000    0
13.543975    334.000    0
13.555204    312.000    0
13.566434    275.000    0
13.577663    277.000    0
13.588893    262.000    0
13.600122    278.000    0
13.611352    265.000    0
13.622581    277.000    0
13.633811    283.000    0
13.64504    286.000    0
13.65627    269.000    0
13.667499    245.000    0
13.678728    261.000    0
13.689958    282.000    0
13.701187    278.000    0
13.712417    261.000    0
13.723646    315.000    0
13.734876    287.000    0
13.746105    282.000    0
13.757335    305.000    0
13.768564    283.000    0
13.779793    281.000    0
13.791023    267.000    0
13.802252    269.000    0
13.813482    258.000    0
13.824711    308.000    0
13.835941    313.000    0
13.84717    291.000    0
13.8584    276.000    0
13.869629    237.000    0
13.880859    272.000    0
13.892088    296.000    0
13.903317    282.000    0
13.914547    303.000    0
13.925776    290.000    0
13.937006    293.000    0
13.948235    286.000    0
13.959465    276.000    0
13.970694    264.000    0
13.981924    281.000    0
13.993153    262.000    0
14.004382    274.000    0
14.015612    250.000    0
14.026841    294.000    0
14.038071    279.000    0
14.0493    286.000    0
14.06053    240.000    0
14.071759    292.000    0
14.082989    295.000    0
14.094218    291.000    0
14.105448    279.000    0
14.116677    284.000    0
14.127906    285.000    0
14.139136    314.000    0
14.150365    269.000    0
14.161595    298.000    0
14.172824    278.000    0
14.184054    286.000    0
14.195283    324.000    0
14.206513    315.000    0
14.217742    285.000    0
14.228971    317.000    0
14.240201    314.000    0
14.25143    274.000    0
14.26266    299.000    0
14.273889    306.000    0
14.285119    321.000    0
14.296348    275.000    0
14.307578    291.000    0
14.318807    333.000    0
14.330037    313.000    0
14.341266    327.000    0
14.352495    347.000    0
14.363725    344.000    0
14.374954    365.000    0
14.386184    360.000    0
14.397413    345.000    0
14.408643    410.000    0
14.419872    442.000    0
14.431102    430.000    0
14.442331    465.000    0
14.453561    543.000    0
14.46479    550.000    0
14.476019    631.000    0
14.487249    702.000    0
14.498478    746.000    0
14.509708    826.000    0
14.520937    1018.000    0
14.532167    1272.000    0
14.543396    1396.000    0
14.554626    1567.000    0
14.565855    1765.000    0
14.577084    2018.000    0
14.588314    2064.000    0
14.599543    2237.000    0
14.610773    2352.000    0
14.622002    2409.000    0
14.633232    2387.000    0
14.644461    2434.000    0
14.655691    2408.000    0
14.66692    2283.000    0
14.67815    2181.000    0
14.689379    2105.000    0
14.700608    1881.000    0
14.711838    1785.000    0
14.723067    1625.000    0
14.734297    1381.000    0
14.745526    1278.000    0
14.756756    1162.000    0
14.767985    970.000    0
14.779215    824.000    0
14.790444    703.000    0
14.801673    620.000    0
14.812903    559.000    0
14.824132    497.000    0
14.835362    486.000    0
14.846591    439.000    0
14.857821    381.000    0
14.86905    404.000    0
14.88028    374.000    0
14.891509    383.000    0
14.902739    376.000    0
14.913968    311.000    0
14.925197    350.000    0
14.936427    331.000    0
14.947656    362.000    0
14.958886    312.000    0
14.970115    321.000    0
14.981345    342.000    0
14.992574    294.000    0
15.003804    323.000    0
15.015033    349.000    0
15.026262    307.000    0
15.037492    344.000    0
15.048721    320.000    0
15.059951    312.000    0
15.07118    305.000    0
15.08241    335.000    0
15.093639    348.000    0
15.104869    320.000    0
15.116098    309.000    0
15.127328    326.000    0
15.138557    325.000    0
15.149786    312.000    0
15.161016    314.000    0
15.172245    317.000    0
15.183475    319.000    0
15.194704    277.000    0
15.205934    301.000    0
15.217163    294.000    0
15.228393    269.000    0
15.239622    318.000    0
15.250851    271.000    0
15.262081    282.000    0
15.27331    283.000    0
15.28454    278.000    0
15.295769    275.000    0
15.306999    310.000    0
15.318228    262.000    0
15.329458    289.000    0
15.340687    291.000    0
15.351917    290.000    0
15.363146    288.000    0
15.374375    270.000    0
15.385605    308.000    0
15.396834    266.000    0
15.408064    284.000    0
15.419293    313.000    0
15.430523    294.000    0
15.441752    262.000    0
15.452982    298.000    0
15.464211    294.000    0
15.47544    270.000    0
15.48667    260.000    0
15.497899    229.000    0
15.509129    269.000    0
15.520358    282.000    0
15.531588    267.000    0
15.542817    266.000    0
15.554047    266.000    0
15.565276    232.000    0
15.576506    274.000    0
15.587735    254.000    0
15.598964    256.000    0
15.610194    255.000    0
15.621423    242.000    0
15.632653    279.000    0
15.643882    276.000    0
15.655112    268.000    0
15.666341    280.000    0
15.677571    286.000    0
15.6888    301.000    0
15.700029    267.000    0
15.711259    261.000    0
15.722488    284.000    0
15.733718    265.000    0
15.744947    298.000    0
15.756177    299.000    0
15.767406    272.000    0
15.778636    299.000    0
15.789865    274.000    0
15.801095    258.000    0
15.812324    269.000    0
15.823553    264.000    0
15.834783    251.000    0
15.846012    259.000    0
15.857242    250.000    0
15.868471    259.000    0
15.879701    276.000    0
